"","class","species","n"
"526","Mammalia","Mirounga leonina",19
"527","Mammalia","Molossus molossus",4
"528","Mammalia","Monodelphis dimidiata",4
"529","Mammalia","Mus musculus",4
"530","Mammalia","Myocastor coypus",96
"531","Mammalia","Myotis albescens",2
"532","Mammalia","Myotis levis",1
"533","Mammalia","Nasua nasua",15
"534","Mammalia","Oligoryzomys flavescens",2
"535","Mammalia","Oligoryzomys nigripes",4
"536","Mammalia","Oryctolagus cuniculus",6
"537","Mammalia","Otaria byronia",121
"538","Mammalia","Ovis aries",1
"539","Mammalia","Oxymycterus josei",1
"540","Mammalia","Oxymycterus nasutus",1
"541","Mammalia","Ozotoceros bezoarticus",14
"542","Mammalia","Pecari tajacu",2
"543","Mammalia","Platyrrhinus lineatus",2
"544","Mammalia","Pontoporia blainvillei",30
"545","Mammalia","Procyon cancrivorus",79
"546","Mammalia","Pseudorca crassidens",4
"547","Mammalia","Rattus norvegicus",3
"548","Mammalia","Rattus rattus",3
"549","Mammalia","Reithrodon typicus",1
"550","Mammalia","Sphiggurus spinosus",10
"551","Mammalia","Sturnira lilium",1
"552","Mammalia","Sus scrofa",17
"553","Mammalia","Tadarida brasiliensis",8
"554","Mammalia","Tamandua tetradactyla",8
"555","Mammalia","Tursiops truncatus",12
"556","Mammalia","Wilfredomys oenax",2
