"","recordedBy","first_record","last_record","observations","activity_time","observations_by_time","user_category"
"1","ANDRÉS GONZÁLEZ","2012-06-25T16:41","2024-03-09T16:09:46",212,4276,0.0495790458372311,"beginner"
"2","Abril Gonzalez Navarro","2006-01-19T13:17","2006-01-19T13:17",1,1,1,"beginner"
"3","Adela Ferreira","2020-06-03T15:24:16","2022-07-26T15:00",63,784,0.0803571428571429,"beginner"
"4","Adolfo Palavecino","2024-02-25T13:13:52","2024-02-25T13:13:52",1,1,1,"beginner"
"5","Adrian Antunez","2005-07-03T14:33","2024-03-17T11:19",1378,6833,0.201668374067028,"intermediate"
"6","Adriana Carrera","2021-04-29T11:57","2022-02-28",3,306,0.00980392156862745,"beginner"
"7","Adriana Machado","2021-04-03T16:22:48","2024-04-05T10:28:59",374,1099,0.340309372156506,"intermediate"
"8","Adriano Luiz de Faria","2017-12-30","2018-12-29",3,365,0.00821917808219178,"beginner"
"9","Agus","2019-10-30T10:57:36","2022-02-23T15:52:15",11,848,0.0129716981132075,"beginner"
"10","AgusZaldúa","2024-03-15T09:00","2024-03-15T09:00",1,1,1,"beginner"
"11","Agustina Arismendi","2024-04-04T13:45:55","2024-04-04T13:45:55",1,1,1,"beginner"
"12","Agustina Cordero","2024-03-17T15:46","2024-03-17T15:46",1,1,1,"beginner"
"13","Agustina Medina","2014-05-18T10:34","2024-04-09T12:22:06",2518,3615,0.696542185338866,"expert"
"14","Agustín Krymolowski","2018-11-03T17:57","2019-01-17T10:39:31",39,76,0.513157894736842,"beginner"
"15","Al Schotz","2021-12-23T12:55","2024-02-15T17:39",19,785,0.024203821656051,"beginner"
"16","Alberto","2021-03-31T09:45","2024-03-10T12:19:56",19,1076,0.0176579925650558,"beginner"
"17","Alberto Gómez Perazzoli","2020-08-12T10:20:38","2021-12-02T20:52:20",8,478,0.0167364016736402,"beginner"
"18","Alberto Martinez Cia","2019-12-19T17:16","2019-12-19T17:16",1,1,1,"beginner"
"19","Aldana Lima","2021-11-25T14:30","2022-08-10T18:08",4,259,0.0154440154440154,"beginner"
"20","Alec McClay","2018-02-25T11:39","2018-02-25T11:40",2,1,2,"beginner"
"21","Alejandra Lallo","2017-12-31T11:38","2017-12-31T11:43",3,1,3,"beginner"
"22","Alejandra Nuñez Mautone","2022-09-05T11:07:06","2023-10-22T12:15",16,413,0.0387409200968523,"beginner"
"23","Alejandra de Giorgi","2021-10-24T09:37:14","2021-10-24T15:37:40",9,1,9,"beginner"
"24","Alejandro","2023-03-21T10:30","2023-04-01T11:21",2,12,0.166666666666667,"beginner"
"25","Alejandro Avendaño","2023-07-29T14:27:30","2023-07-29T14:27:30",1,1,1,"beginner"
"26","Alejandro Dauguet","2023-01-30T13:01:10","2023-01-30T13:24:16",3,1,3,"beginner"
"27","Alejandro Puente Tapia","2012-01-15T19:36","2020-11-20T23:14",3,3233.04166666667,0.000927918755557847,"beginner"
"28","Alex","2010-03-13T10:55","2020-01-06T13:21:15",5,3587.04166666667,0.00139390630626445,"beginner"
"29","Alex Ellenes","2019-09-16T14:38:05","2019-09-16T14:38:05",1,1,1,"beginner"
"30","Alex Stinson","2020-04-11T14:26:08","2024-03-06T14:43:37",34,1426,0.0238429172510519,"beginner"
"31","Alfonsina López Pérez","2020-11-03T10:57:35","2024-03-30T14:21:08",260,1244,0.209003215434084,"intermediate"
"32","Alfredo Castro","2021-07-01T16:27:57","2022-09-19T12:13:13",29,446,0.0650224215246637,"beginner"
"33","Alice Moore","2020-02-28T16:51:36","2024-03-29T15:56:32",98,1492,0.0656836461126005,"beginner"
"34","Alvaro Alvarez","2022-03-06T13:06","2022-03-06T13:06",1,1,1,"beginner"
