"","family","species","n"
"519","Solanaceae","Physalis angulata",10
"520","Solanaceae","Physalis peruviana",15
"521","Solanaceae","Physalis viscosa",6
"522","Solanaceae","Salpichroa origanifolia",25
"523","Solanaceae","Salpiglossis anomala",22
"524","Solanaceae","Schwenckia curviflora",8
"525","Solanaceae","Sclerophylax lorentzianus",4
"526","Solanaceae","Sessea vestioides",1
"527","Solanaceae","Solanum adscendens",1
"528","Solanaceae","Solanum aethiopicum",1
"529","Solanaceae","Solanum americanum",36
"530","Solanaceae","Solanum amygdalifolium",15
"531","Solanaceae","Solanum atropurpureum",7
"532","Solanaceae","Solanum betaceum",1
"533","Solanaceae","Solanum bonariense",16
"534","Solanaceae","Solanum chenopodioides",27
"535","Solanaceae","Solanum commersonii",52
"536","Solanaceae","Solanum glaucophyllum",37
"537","Solanaceae","Solanum granulosoleprosum",2
"538","Solanaceae","Solanum guaraniticum",1
"539","Solanaceae","Solanum laxum",64
"540","Solanaceae","Solanum lycopersicum",4
"541","Solanaceae","Solanum malmeanum",1
"542","Solanaceae","Solanum mauritianum",75
"543","Solanaceae","Solanum pilcomayense",1
"544","Solanaceae","Solanum platense",1
"545","Solanaceae","Solanum pseudocapsicum",37
"546","Solanaceae","Solanum reineckii",10
"547","Solanaceae","Solanum sisymbriifolium",156
"548","Solanaceae","Solanum viarum",35
"549","Solanaceae","Streptosolen jamesonii",1
"550","Solanaceae","Vassobia breviflora",3
