"id","taxon_family_name","taxon_species_name","n","species","taxon_genus_name","Distribution","Habito1","Habito2","SNAPregional","BiodiversidataEstablecimiento","IUCNglobal","trendGlobal","esta_en_powo","esta_en_gbif","es_un_nuevo_registro","url_powo","synonym","remarks"
585,"Solanaceae","Vassobia breviflora",6,,,,,,,,,,,,,,,"new species"
137,"Asteraceae","Gazania rigens",5,,,,,,,,,,"Potencial introducida","-","-","https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:208720-1",,"non-native"
364,"Fabaceae","Acacia podalyriifolia",5,,,,,,,,,,"Potencial introducida","-","-","https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:76522-3",,"non-native"
469,"Fabaceae","Neltuma nigra",5,,,,,,,,,,,,,,"Prosopis nigra",
112,"Asteraceae","Eclipta elliptica",57,"Eclipta elliptica","Eclipta",10,"Hierba","Perenne","No evaluada","nativa","NE","NE",,,,,,
113,"Asteraceae","Eclipta megapotamica",5,"Eclipta megapotamica","Eclipta",1,"Hierba","Perenne","No evaluada","nativa","NE","NE","Está","Está","NO","https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:88789-2",,
114,"Asteraceae","Eclipta prostrata",17,"Eclipta prostrata","Eclipta",11,"Hierba","Anual","No evaluada","nativa","LC","Stable",,,,,,
115,"Asteraceae","Elephantopus angustifolius",2,"Elephantopus angustifolius","Elephantopus",1,"Hierba","Perenne","No evaluada","NE","NE","NE",,,,,,
116,"Asteraceae","Elephantopus mollis",18,"Elephantopus mollis","Elephantopus",3,"Hierba","Perenne","No evaluada","nativa","NE","NE",,,,,,
480,"Fabaceae","Rhynchosia diversifolia",5,,,,,,,,,,,,,,,"new species"
118,"Asteraceae","Erechtites hieraciifolius",9,"Erechtites hieraciifolius","Erechtites",10,"Hierba","Anual","No evaluada","introducida","NE","NE",,,,,,
119,"Asteraceae","Erechtites valerianifolius",17,"Erechtites valerianifolius","Erechtites",4,"Hierba","Anual","No evaluada","nativa","NE","NE",,,,,,
120,"Asteraceae","Erigeron blakei",13,"Erigeron blakei","Erigeron",13,"Hierba","Anual","No evaluada","NE","NE","NE",,,,,,
121,"Asteraceae","Erigeron bonariensis",32,"Erigeron bonariensis","Erigeron",1,"Hierba","Anual","No evaluada","NE","NE","NE",,,,,,
122,"Asteraceae","Erigeron canadensis",1,"Erigeron canadensis","Erigeron",1,"NE","NE","No evaluada","NE","NE","NE","No está","Está","NO","https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:203653-1",,
123,"Asteraceae","Erigeron lorentzii",2,"Erigeron lorentzii","Erigeron",1,"Hierba","Anual","No evaluada","NE","NE","NE",,,,,,
124,"Asteraceae","Erigeron primulifolius",10,"Erigeron primulifolius","Erigeron",3,"Hierba","Perenne","No evaluada","NE","NE","NE",,,,,,
134,"Asteraceae","Gamochaeta filaginea",4,,,,,,,,,,,,,,,"new species"
126,"Asteraceae","Exostigma notobellidiastrum",1,"Exostigma notobellidiastrum","Exostigma",4,"Hierba","Perenne","No evaluada","nativa","NE","NE",,,,,,
127,"Asteraceae","Exostigma rivulare",1,"Exostigma rivulare","Exostigma",2,"Hierba","Perenne","No evaluada","NE","NE","NE",,,,,,
128,"Asteraceae","Facelis retusa",12,"Facelis retusa","Facelis",13,"Hierba","Anual","No evaluada","nativa","NE","NE",,,,,,
129,"Asteraceae","Galinsoga parviflora",10,"Galinsoga parviflora","Galinsoga",1,"Hierba","Anual","No evaluada","NE","NE","NE","Está","Está","NO","https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:208554-1",,
130,"Asteraceae","Galinsoga quadriradiata",1,"Galinsoga quadriradiata","Galinsoga",1,"Hierba","Anual","No evaluada","NE","NE","NE","No está","No está","SI","https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:208557-1",,
131,"Asteraceae","Gamochaeta americana",10,"Gamochaeta americana","Gamochaeta",14,"Hierba","Perenne","No evaluada","nativa","NE","NE",,,,,,
216,"Asteraceae","Pascalia glauca",4,,,,,,,,,,,,,,,"new species"
133,"Asteraceae","Gamochaeta falcata",3,"Gamochaeta falcata","Gamochaeta",6,"Hierba","Perenne","No evaluada","nativa","NE","NE",,,,,,
258,"Asteraceae","Senecio tamoides",4,,,,,,,,,,"Potencial introducida","-","-","https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:247873-1",,"non-native"
394,"Fabaceae","Desmanthus virgatus",4,,,,,,,,,,,,,,,"new species"
459,"Fabaceae","Mimosa reptans",4,,,,,,,,,,,,,,,"new species"
509,"Fabaceae","Vachellia karroo",4,,,,,,,,,,"Potencial introducida","-","-","https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:77087189-1",,"non-native"
138,"Asteraceae","Glebionis coronaria",1,"Glebionis coronaria","Glebionis",2,"Hierba","Anual","No evaluada","NE","NE","NE",,,,,,
139,"Asteraceae","Grazielia brevipetiolata",32,"Grazielia brevipetiolata","Grazielia",5,"Hierba","Perenne","Prioritaria","nativa","NE","NE",,,,,,
140,"Asteraceae","Grazielia intermedia",5,"Grazielia intermedia","Grazielia",2,"Arbusto","Perenne","No Prioritaria","nativa","NE","NE",,,,,,
141,"Asteraceae","Grazielia serrata",15,"Grazielia serrata","Grazielia",6,"Arbusto","Perenne","No Prioritaria","nativa","NE","NE",,,,,,
4,"Asteraceae","Achyrocline alata",3,,,,,,,,,,,,,,,"new species"
143,"Asteraceae","Grindelia orientalis",5,"Grindelia orientalis","Grindelia",2,"Subarbusto","Perenne","Prioritaria","nativa","NE","NE",,,,,,
144,"Asteraceae","Grindelia pulchella",18,"Grindelia pulchella","Grindelia",4,"Subarbusto","Perenne","No evaluada","nativa","NE","NE",,,,,,
145,"Asteraceae","Gymnocoronis spilanthoides",26,"Gymnocoronis spilanthoides","Gymnocoronis",13,"Hierba","Perenne","No evaluada","nativa","NE","NE",,,,,,
146,"Asteraceae","Gyptis commersonii",8,"Gyptis commersonii","Gyptis",13,"Hierba","Perenne","No evaluada","NE","NE","NE",,,,,,
147,"Asteraceae","Gyptis lanigera",2,"Gyptis lanigera","Gyptis",6,"Hierba","Perenne","No Prioritaria","nativa","NE","NE",,,,,,
148,"Asteraceae","Gyptis pinnatifida",3,"Gyptis pinnatifida","Gyptis",11,"Subarbusto","Perenne","No evaluada","NE","NE","NE",,,,,,
149,"Asteraceae","Gyptis tanacetifolia",23,"Gyptis tanacetifolia","Gyptis",11,"Subarbusto","Perenne","No evaluada","nativa","NE","NE",,,,,,
150,"Asteraceae","Hatschbachiella tweedieana",38,"Hatschbachiella tweedieana","Hatschbachiella",12,"Subarbusto","Perenne","No evaluada","nativa","NE","NE",,,,,,
151,"Asteraceae","Hedypnois rhagadioloides",5,"Hedypnois rhagadioloides","Hedypnois",8,"Hierba","Anual","No evaluada","introducida","NE","NE",,,,,,
11,"Asteraceae","Aldama nudicaulis",3,,,,,,,,,,,,,,,"new species"
23,"Asteraceae","Baccharis arenaria",3,,,,,,,,,,,,,,,"new species"
37,"Asteraceae","Baccharis juncea",3,,,,,,,,,,,,,,,"new species"
155,"Asteraceae","Helianthus tuberosus",5,"Helianthus tuberosus","Helianthus",2,"Hierba","Perenne","No evaluada","NE","LC","Stable",,,,,,
156,"Asteraceae","Helminthotheca echioides",38,"Helminthotheca echioides","Helminthotheca",1,"Hierba","Anual","No evaluada","introducida","NE","NE",,,,,,
157,"Asteraceae","Hieracium commersonii",6,"Hieracium commersonii","Hieracium",15,"Hierba","Perenne","No evaluada","nativa","NE","NE",,,,,,
125,"Asteraceae","Euryops chrysanthemoides",3,,,,,,,,,,"Potencial introducida","-","-","https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:207397-1",,"non-native"
159,"Asteraceae","Holocheilus brasiliensis",6,"Holocheilus brasiliensis","Holocheilus",15,"Hierba","Perenne","No evaluada","nativa","NE","NE",,,,,,
160,"Asteraceae","Holocheilus hieracioides",4,"Holocheilus hieracioides","Holocheilus",12,"Hierba","Perenne","No evaluada","nativa","NE","NE",,,,,,
161,"Asteraceae","Hymenoxys anthemoides",2,"Hymenoxys anthemoides","Hymenoxys",6,"Hierba","Anual","No evaluada","nativa","NE","NE",,,,,,
162,"Asteraceae","Hypochaeris albiflora",16,"Hypochaeris albiflora","Hypochaeris",4,"Hierba","Perenne","No evaluada","nativa","NE","NE",,,,,,
163,"Asteraceae","Hypochaeris chillensis",19,"Hypochaeris chillensis","Hypochaeris",14,"Hierba","Perenne","No evaluada","nativa","NE","NE",,,,,,
135,"Asteraceae","Gamochaeta pensylvanica",3,,,,,,,,,,,,,,,"new species"
