"","user_login","first_record","last_record","observations","activity_time","observations_by_time","user_category"
"167","borealisuruguay","2023-08-08 13:30:21 UTC","2024-02-06 20:38:53 UTC",218,183.297592592593,1.18932276696366,"intermediate"
"168","botanistuy","2017-03-05 23:34:01 UTC","2022-06-02 17:41:54 UTC",16,1915.75547453704,0.0083517965693751,"beginner"
"169","braianvi","2022-08-30 15:14:34 UTC","2022-10-29 12:58:53 UTC",3,60.905775462963,0.0492564125026913,"beginner"
"170","brasiliano","2023-03-29 19:41:34 UTC","2023-03-29 19:41:34 UTC",1,1,1,"beginner"
"171","brevi33","2023-08-26 12:54:45 UTC","2023-08-26 12:54:45 UTC",1,1,1,"beginner"
"172","briza2","2021-01-02 14:30:35 UTC","2021-01-02 14:38:54 UTC",2,1.00577546296296,1.98851540293904,"beginner"
"173","brunn00","2023-05-08 18:44:04 UTC","2024-02-19 16:15:37 UTC",55,287.896909722222,0.191040605656611,"beginner"
"174","bruno-javier-uru","2022-05-22 00:28:55 UTC","2024-01-24 18:09:04 UTC",60,613.736215277778,0.0977618698496453,"beginner"
"175","bruno712","2022-05-01 21:05:45 UTC","2022-05-03 19:49:26 UTC",14,2.94700231481481,4.75059009272605,"beginner"
"176","brunodalbora","2022-10-19 14:55:52 UTC","2022-10-19 14:55:52 UTC",1,1,1,"beginner"
"177","brunovivian","2023-10-26 23:34:02 UTC","2023-10-26 23:34:02 UTC",1,1,1,"beginner"
"178","brupaip","2022-06-18 16:41:47 UTC","2023-11-20 21:20:00 UTC",14,521.193206018518,0.026861439938844,"beginner"
"179","bunni2019","2019-12-18 17:51:35 UTC","2019-12-18 17:51:45 UTC",2,1.00011574074074,1.99976854530726,"beginner"
"180","c_a_t_a_l_i_n_a","2022-06-20 16:31:09 UTC","2022-06-20 16:31:09 UTC",1,1,1,"beginner"
"181","ca_fe","2021-10-26 18:35:20 UTC","2021-10-30 19:00:32 UTC",4,5.0175,0.797209765819631,"beginner"
"182","cachafazmercedario","2023-01-25 20:49:06 UTC","2024-02-21 17:04:30 UTC",11,392.844027777778,0.0280009347786812,"beginner"
"183","cameronr","2020-05-10 14:51:53 UTC","2024-02-18 22:07:57 UTC",361,1380.30282407407,0.261536811852981,"intermediate"
"184","camigoi","2020-01-12 22:01:22 UTC","2020-01-12 22:01:22 UTC",1,1,1,"beginner"
"185","camilaestramil","2020-08-05 16:12:41 UTC","2022-05-27 17:39:44 UTC",11,661.060451388889,0.0166399305493,"beginner"
"186","camilo241","2023-05-27 03:01:11 UTC","2023-06-02 13:54:48 UTC",2,7.45390046296296,0.268315898493363,"beginner"
"187","camilo260","2022-08-03 18:45:15 UTC","2022-10-29 19:01:14 UTC",2,88.011099537037,0.0227244064728263,"beginner"
"188","camilo303","2023-01-10 15:18:45 UTC","2023-01-10 15:18:45 UTC",1,1,1,"beginner"
"189","camiloschettini","2018-03-29 18:38:01 UTC","2024-02-26 04:27:50 UTC",10,2160.40959490741,0.00462875189203582,"beginner"
"190","can22","2022-11-08 21:26:45 UTC","2022-11-08 21:26:45 UTC",1,1,1,"beginner"
"191","capincho77","2019-09-21 18:48:07 UTC","2022-11-26 14:56:56 UTC",5,1162.83945601852,0.00429981969920392,"beginner"
"192","carabio_mag","2020-01-28 17:48:40 UTC","2024-01-17 13:54:00 UTC",473,1450.83703703704,0.326018696742111,"intermediate"
"193","carbonero97","2023-12-22 01:50:25 UTC","2024-02-06 18:45:50 UTC",16,47.705150462963,0.335393554882968,"beginner"
"194","carilinaa","2019-01-12 21:09:12 UTC","2019-01-12 21:09:12 UTC",1,1,1,"beginner"
