taxon_class_name,taxon_species_name,distribution_area,body_size,conservation_status,remarks
Mammalia,Hydrochoerus hydrochaeris,19,115,LC,NA
Mammalia,Lagenodelphis hosei,5,235,LC,NA
Mammalia,Lasiurus blossevillii,19,10,LC,NA
Mammalia,Lasiurus cinereus,19,12,LC,NA
Mammalia,Lasiurus ega,19,12,LC,NA
Mammalia,Leopardus fasciatus,1,60,CR,NA
Mammalia,Leopardus geoffroyi,19,90,LC,NA
Mammalia,Leopardus wiedii,8,102,NT,NA
Mammalia,Lepus europaeus,NA,NA,NA,non-native: introduced
Mammalia,Lontra longicaudis,19,114,NT,NA
Mammalia,Lutreolina crassicaudata,19,62,LC,NA
Mammalia,Lycalopex gymnocerca,19,97,LC,NA
Mammalia,Mazama gouazoubira,19,210,LC,NA
