"taxon_class_name","taxon_species_name","Distribution","Size","IUCNglobal","remarks"
"Aves","Rhea americana",19,140,"NT",
"Aves","Rhopospina fruticeti",10,15,"LC",
"Aves","Rhynchotus rufescens",19,41,"LC",
"Aves","Riparia riparia",19,11,"LC",
"Aves","Rollandia rolland",19,25,"LC",
"Aves","Rostrhamus sociabilis",19,41,"LC",
"Aves","Rupornis magnirostris",19,38,"LC",
"Aves","Rynchops niger",13,40,"LC",
"Aves","Saltator aurantiirostris",19,18,"LC",
"Aves","Saltator coerulescens",4,20,"LC",
"Aves","Saltator similis",19,19,"LC",
"Aves","Satrapa icterophrys",19,16,"LC",
"Aves","Schoeniophylax phryganophilus",19,18,"LC",
"Aves","Serpophaga griseicapilla",19,9,"LC",
"Aves","Serpophaga nigricans",19,11,"LC",
"Aves","Serpophaga subcristata",19,9,"LC",
"Aves","Setopagis parvula",19,20,"LC",
"Aves","Setophaga pitiayumi",19,9,"LC",
"Aves","Sicalis flaveola",19,12,"LC",
"Aves","Sicalis luteola",19,12,"LC",
"Aves","Sittasomus griseicapillus",1,14,"LC",
"Aves","Spartonoica maluroides",19,13,"NT",
"Aves","Spatula cyanoptera",9,37,"LC",
"Aves","Spatula platalea",19,43,"LC",
"Aves","Spatula versicolor",19,37,"LC",
"Aves","Spheniscus magellanicus",6,47,"NT",
"Aves","Spinus magellanicus",19,12,"LC",
"Aves","Sporophila caerulescens",19,11,"LC",
"Aves","Sporophila cinnamomea",19,9,"VU",
"Aves","Sporophila collaris",14,11,"LC",
"Aves","Sporophila hypochroma",11,9,"NT",
"Aves","Sporophila hypoxantha",9,9,"LC",
"Aves","Sporophila leucoptera",1,11,"LC",
"Aves","Sporophila palustris",9,9,"EN",
"Aves","Sporophila pileata",2,11,"LC",
"Aves","Sporophila ruficollis",7,9,"NT",
"Aves","Stelgidopteryx ruficollis",19,13,"LC",
"Aves","Stephanophorus diadematus",19,18,"LC",
"Aves","Stercorarius antarcticus",5,60,"NE",
"Aves","Stercorarius chilensis",2,54,"LC",
"Aves","Stercorarius longicaudus",1,37,"LC",
"Aves","Stercorarius maccormicki",1,52,"LC",
"Aves","Stercorarius parasiticus",6,39,"LC",
"Aves","Stercorarius pomarinus",2,48,"LC",
"Aves","Sterna hirundinacea",9,38,"LC",
"Aves","Sterna hirundo",5,31,"LC",
"Aves","Sterna paradisaea",3,34,"LC",
"Aves","Sterna trudeaui",13,32,"LC",
"Aves","Sternula superciliaris",19,23,"LC",
"Aves","Stilpnia peruviana",1,14,"VU",
"Aves","Stilpnia preciosa",17,15,"LC",
"Aves","Sturnus vulgaris",19,20,"LC",
"Aves","Sublegatus modestus",19,13,"LC",
"Aves","Suiriri suiriri",19,13,"LC",
"Aves","Synallaxis albescens",14,14,"LC",
"Aves","Synallaxis cinerascens",3,13,"LC",
"Aves","Synallaxis frontalis",19,15,"LC",
